,front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
0,شرقية,5,4,5,20.0,1,0,1,1,1,1,1,1,1,300,0,0,0,0,0,0,عكاظ,جنوب الرياض,1050000.0,3500.0
1,غربية,4,3,5,20.0,1,0,1,1,1,1,1,1,0,540,2,1,1,0,0,0,المهدية,غرب الرياض,3000000.0,5555.555556
2,جنوبية شرقية,7,2,5,15.0,1,31,1,0,1,1,1,1,0,875,0,1,0,0,0,0,الشفا,جنوب الرياض,2000000.0,2285.714286
3,غربية,7,3,5,15.0,1,3,0,1,1,1,0,1,1,200,0,1,0,1,0,0,ظهرة لبن,غرب الرياض,894000.0,4470.0
4,شمالية,4,2,4,25.0,1,0,1,1,1,1,1,1,0,400,3,1,1,1,0,0,قرطبة,شرق الرياض,3500000.0,8750.0
5,شمالية شرقية,7,2,5,10.0,1,0,0,1,1,1,0,1,0,500,0,0,0,0,0,0,السويدي,غرب الرياض,800000.0,1600.0
6,شمالية,6,2,5,20.0,1,0,0,1,1,1,1,1,1,275,0,0,1,0,0,0,المهدية,غرب الرياض,2100000.0,7636.363636
7,شمالية,7,3,5,25.0,1,6,0,1,1,1,1,1,1,300,0,1,0,0,0,0,عكاظ,جنوب الرياض,1100000.0,3666.666667
8,جنوبية,5,2,4,14.0,0,35,0,0,1,1,0,1,0,585,0,0,0,0,0,0,الروضة,شرق الرياض,1900000.0,3247.863248
9,شمالية شرقية,5,5,5,22.0,1,0,0,0,1,1,1,1,0,360,0,1,0,0,0,0,عكاظ,جنوب الرياض,1200000.0,3333.333333
10,جنوبية غربية,5,2,5,15.0,1,6,1,1,1,1,1,1,0,780,3,1,0,0,0,0,القادسية,شرق الرياض,3900000.0,5000.0
11,جنوبية,5,4,5,21.0,1,0,0,1,1,1,1,1,1,300,0,0,0,0,0,0,بدر,جنوب الرياض,1050000.0,3500.0
12,شمالية,4,2,5,15.0,1,10,1,1,1,1,1,1,0,540,2,1,0,0,0,0,قرطبة,شرق الرياض,3100000.0,5740.740741
13,شمالية شرقية,6,2,4,30.0,0,0,0,0,0,1,0,0,0,600,0,0,0,0,0,0,المدينة الصناعية الجديدة,جنوب الرياض,900000.0,1500.0
14,شمالية غربية,5,3,5,21.0,1,0,0,0,1,1,1,1,0,260,0,0,0,0,0,0,عكاظ,جنوب الرياض,1030000.0,3961.538462
15,شمالية,5,2,5,15.0,1,0,0,0,1,1,1,1,0,300,0,1,0,0,0,0,عكاظ,جنوب الرياض,1050000.0,3500.0
16,شرقية,5,5,5,20.0,1,0,0,0,1,1,1,1,1,300,0,1,0,0,0,0,عكاظ,جنوب الرياض,1100000.0,3666.666667
17,شمالية,7,2,5,15.0,1,0,0,1,0,1,0,1,0,270,1,1,0,0,0,0,الجنادرية,شرق الرياض,1400000.0,5185.185185
18,شمالية,5,2,4,15.0,0,23,1,0,0,1,0,1,0,552,2,1,0,0,0,0,الفاخرية,غرب الرياض,1200000.0,2173.913043
19,شرقية,7,2,5,20.0,1,0,1,1,1,1,1,1,0,375,2,1,1,0,1,0,الشرق,شرق الرياض,2000000.0,5333.333333
21,غربية,5,2,5,20.0,1,0,0,0,1,1,1,1,1,220,0,1,0,0,0,0,العارض,شمال الرياض,2000000.0,9090.909091
23,جنوبية,6,3,5,15.0,1,3,0,1,1,1,1,1,1,275,0,0,0,0,0,0,بدر,جنوب الرياض,900000.0,3272.727273
24,شرقية,4,3,5,20.0,1,0,0,1,1,1,1,1,1,300,0,0,0,0,0,0,عكاظ,جنوب الرياض,1150000.0,3833.333333
25,شرقية,5,5,5,20.0,1,0,0,1,1,1,1,1,1,300,0,1,0,0,1,0,عكاظ,جنوب الرياض,990000.0,3300.0
26,شمالية,5,2,5,22.0,0,8,0,0,1,1,1,1,0,375,0,0,0,0,0,0,الدار البيضاء,جنوب الرياض,950000.0,2533.333333
28,شرقية,5,5,5,30.0,1,0,0,0,1,1,1,1,1,350,0,0,0,0,0,0,عكاظ,جنوب الرياض,1130000.0,3228.571429
29,شمالية,5,3,5,15.0,1,0,0,1,1,1,1,1,1,300,0,1,1,0,0,0,عكاظ,جنوب الرياض,980000.0,3266.666667
30,جنوبية,5,3,5,25.0,1,0,1,1,1,1,1,1,0,562,0,1,1,1,0,0,الحمراء,شرق الرياض,6300000.0,11209.96441
31,جنوبية غربية,5,5,5,29.0,1,0,0,0,1,1,1,1,0,377,1,0,0,0,0,0,عكاظ,جنوب الرياض,1600000.0,4244.03183
32,شمالية,7,5,5,15.0,1,5,0,0,1,1,0,1,0,600,0,1,0,0,1,0,طويق,غرب الرياض,1700000.0,2833.333333
33,شرقية,5,5,5,25.0,1,0,0,1,1,1,1,1,1,350,0,0,0,0,0,0,عكاظ,جنوب الرياض,1150000.0,3285.714286
34,شمالية غربية,6,1,4,15.0,0,0,0,0,1,1,0,1,0,300,1,0,0,0,0,0,احد,جنوب الرياض,1150000.0,3833.333333
36,شرقية,4,3,4,30.0,1,0,0,0,1,1,1,1,1,350,0,1,0,0,0,0,عكاظ,جنوب الرياض,1130000.0,3228.571429
37,جنوبية,5,2,5,28.0,1,0,0,1,1,1,1,1,0,270,1,1,0,0,0,0,عكاظ,جنوب الرياض,1150000.0,4259.259259
38,شرقية,5,4,5,17.0,1,0,0,1,1,1,1,1,0,300,1,1,0,0,0,0,بدر,جنوب الرياض,1175000.0,3916.666667
39,شرقية,5,5,5,25.0,1,0,0,0,1,1,1,1,1,350,0,0,0,0,0,0,عكاظ,جنوب الرياض,1150000.0,3285.714286
40,جنوبية,5,3,5,20.0,1,0,0,0,0,1,0,1,1,375,1,1,0,0,0,0,طويق,غرب الرياض,1500000.0,4000.0
41,جنوبية,4,1,3,20.0,1,5,0,1,1,1,0,1,1,250,2,0,0,0,0,0,بدر,جنوب الرياض,800000.0,3200.0
42,شرقية,7,2,4,15.0,0,15,1,1,1,1,0,1,0,380,0,1,0,0,0,0,النهضة,شرق الرياض,1700000.0,4473.684211
43,جنوبية,6,2,5,15.0,1,0,1,0,1,1,1,1,0,350,0,1,1,0,0,0,العارض,شمال الرياض,2800000.0,8000.0
44,شرقية,4,3,5,5.0,1,0,0,0,0,1,1,1,0,420,1,1,1,0,0,0,بدر,جنوب الرياض,1500000.0,3571.428571
45,شرقية,7,1,4,15.0,1,0,1,1,1,1,0,1,0,360,2,1,0,0,0,0,الخليج,شرق الرياض,1950000.0,5416.666667
46,جنوبية,5,1,4,15.0,0,10,1,1,1,1,0,1,0,500,3,1,0,0,0,0,اشبيلية,شرق الرياض,2200000.0,4400.0
47,شمالية,5,1,3,20.0,0,35,1,1,1,1,0,1,0,400,1,1,0,0,0,0,طويق,غرب الرياض,900000.0,2250.0
48,شرقية,5,2,4,15.0,1,22,1,1,1,1,0,1,0,500,2,1,0,0,0,0,اشبيلية,شرق الرياض,2100000.0,4200.0
49,جنوبية,5,1,3,15.0,0,23,1,1,1,1,0,1,0,500,3,1,0,0,0,0,الخليج,شرق الرياض,2200000.0,4400.0
50,جنوبية شرقية,7,2,4,20.0,0,20,1,1,1,1,1,1,0,975,0,1,0,0,0,0,الملك فيصل,شرق الرياض,3500000.0,3589.74359
51,شمالية شرقية,6,1,4,14.0,0,11,1,1,1,1,0,1,0,445,2,1,0,0,0,0,اشبيلية,شرق الرياض,2200000.0,4943.820225
52,شمالية,7,1,3,20.0,0,20,1,1,1,1,0,1,0,750,0,1,0,0,0,0,الخليج,شرق الرياض,3000000.0,4000.0
53,شمالية,6,2,4,20.0,0,15,1,1,1,1,0,1,0,440,3,1,0,0,0,0,الخليج,شرق الرياض,2200000.0,5000.0
54,شمالية,4,2,5,20.0,0,0,0,1,1,1,1,1,1,250,0,1,0,0,0,0,طويق,غرب الرياض,1150000.0,4600.0
55,ثلاث شوارع,7,2,4,30.0,1,25,1,1,1,1,1,1,1,2100,0,1,1,0,1,1,النسيم الغربي,شرق الرياض,4200000.0,2000.0
56,شمالية,4,2,5,20.0,0,0,0,1,1,1,1,1,1,312,0,1,0,0,0,0,عكاظ,جنوب الرياض,1050000.0,3365.384615
57,جنوبية,5,3,5,16.0,1,0,0,0,1,1,1,1,0,312,1,1,0,0,0,1,الرمال,شرق الرياض,1850000.0,5929.487179
58,شرقية,5,3,5,20.0,0,0,0,1,1,1,1,1,1,300,0,0,0,0,0,0,عكاظ,جنوب الرياض,1050000.0,3500.0
59,شمالية,5,2,4,20.0,0,0,0,0,0,1,0,0,1,170,0,0,0,0,0,0,طويق,غرب الرياض,720000.0,4235.294118
60,شمالية شرقية,5,2,5,20.0,1,11,1,0,1,1,1,1,0,1050,0,1,0,0,0,1,حطين,شمال الرياض,8000000.0,7619.047619
61,جنوبية,4,1,3,13.0,0,22,1,1,1,1,0,1,0,391,0,1,0,0,0,0,النهضة,شرق الرياض,1700000.0,4347.826087
62,شرقية,7,2,4,15.0,0,25,1,0,1,1,0,0,0,1200,2,1,0,0,0,0,الريان,شرق الرياض,5040000.0,4200.0
63,شرقية,4,1,4,20.0,1,0,0,0,0,1,1,1,0,200,0,1,1,0,0,0,النرجس,شمال الرياض,2650000.0,13250.0
64,شرقية,5,3,5,30.0,1,0,0,1,1,1,1,1,1,250,0,1,0,0,0,0,الحزم,غرب الرياض,1000000.0,4000.0
65,غربية,6,4,5,15.0,1,21,1,1,1,1,0,1,0,823,0,1,0,0,0,0,السلام,شرق الرياض,2200000.0,2673.147023
66,شرقية,7,2,4,15.0,0,13,1,1,1,1,0,1,1,292,0,1,0,0,0,0,الخليج,شرق الرياض,1300000.0,4452.054795
67,جنوبية,5,2,2,21.0,1,0,0,0,0,1,0,0,1,324,0,0,0,0,0,0,عكاظ,جنوب الرياض,1100000.0,3395.061728
68,شرقية,4,1,4,20.0,1,0,0,1,0,1,0,1,1,270,0,1,1,0,0,0,طويق,غرب الرياض,750000.0,2777.777778
69,شرقية,6,4,5,20.0,1,0,0,1,1,1,0,1,1,270,0,1,0,0,0,0,طيبة,جنوب الرياض,850000.0,3148.148148
74,شمالية,5,3,5,20.0,1,0,0,1,1,1,1,1,1,300,0,1,0,0,0,0,طويق,غرب الرياض,1200000.0,4000.0
75,جنوبية شرقية,4,4,5,15.0,0,1,1,0,1,1,1,1,0,450,2,1,1,0,1,1,Unknown,شمال الرياض,4500000.0,10000.0
76,غربية,5,5,5,24.0,1,0,1,0,1,1,1,1,0,375,2,1,1,0,0,0,الرمال,شرق الرياض,2050000.0,5466.666667
77,شمالية,4,2,5,19.0,0,0,0,1,1,1,1,1,1,300,0,1,0,0,1,0,عكاظ,جنوب الرياض,1070000.0,3566.666667
