,yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR,location
0,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الأندلس,أخرى,1,120000.0,,شرق الرياض
1,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الأندلس,أخرى,1,1000000.0,,شرق الرياض
2,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الأندلس,أخرى,1,167177.0,,شرق الرياض
3,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الأندلس,أخرى,1,475000.0,,شرق الرياض
4,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الأندلس,أخرى,1,1000000.0,,شرق الرياض
5,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الأندلس,أخرى,2,1288550.0,,شرق الرياض
21,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الأندلس,أخرى,3,1500000.0,,شرق الرياض
22,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الصحافة,أخرى,1,17280000.0,,شمال الرياض
23,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,المصانع,أخرى,1,30000.0,,جنوب الرياض
24,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الصحافة,أخرى,29,12111318.0,2735.000212,شمال الرياض
25,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الصحافة,أخرى,1,12150000.0,,شمال الرياض
26,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,المصانع,أخرى,1,100000.0,,جنوب الرياض
27,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الناصرية,أخرى,3,611400.0,,غرب الرياض
28,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الصحافة,أخرى,1,12150000.0,,شمال الرياض
29,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,النظيم,أخرى,1,750000.0,,شرق الرياض
30,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,النظيم,أخرى,1,100000.0,,شرق الرياض
31,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,حطين,أخرى,4,2991300.0,,شمال الرياض
32,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الناصرية,أخرى,1,100000.0,,غرب الرياض
33,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الناصرية,أخرى,2,260000.0,,غرب الرياض
34,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الناصرية,أخرى,1,80000.0,,غرب الرياض
35,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الأندلس,أخرى,1,1050000.0,,شرق الرياض
36,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الأندلس,أخرى,2,700000.0,,شرق الرياض
37,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,غبيرا,أخرى,2,380000.0,,وسط الرياض
38,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الناصرية,أخرى,1,200000.0,,غرب الرياض
39,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الناصرية,أخرى,1,360000.0,,غرب الرياض
