,yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
792,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,25,28598506.85,2733.790573
793,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,26,29466672.53,2206.866203
794,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,25,22247510.0,1987.558717
795,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,46,54788122.76,1960.345454
796,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,20,22764249.45,2302.488065
908,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,19,18483577.41,2066.943595
936,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,18,29597182.74,2970.585464
946,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,23,44033957.45,2374.538563
947,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,27,35847218.29,2361.923735
951,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,30,30208037.75,1745.257178
952,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,34,23800019.7,1408.730692
962,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,33,40161450.0,2077.843678
963,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,18,27746124.88,3142.529489
964,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,22,19951505.0,2699.205748
965,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,25,37726100.0,2676.059636
1047,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,32,122845793.87,4294.065228
1048,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الناصرية,قطعة أرض-سكنى,3,1170000.0,
1049,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الناصرية,قطعة أرض-سكنى,2,4300000.0,
1050,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الناصرية,قطعة أرض-سكنى,1,99000.0,
1052,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,26,34821645.16,3008.753934
1053,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,35,53607482.95,3491.11931
1054,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,27,33878340.02,2609.795394
1055,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,28,44816803.43,3593.011159
1056,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,40,64861590.69,3054.417728
1057,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,31,54760789.04,2954.19336
1058,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,2,14625000.0,
1102,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,35,33068466.42,2044.20769
1103,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,34,30883639.25,1829.510914
1104,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,29,26202491.65,1812.875421
1105,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الأندلس,قطعة أرض-سكنى,10,8423535.0,1941.17647
1108,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الناصرية,قطعة أرض-سكنى,1,280000.0,
1128,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,20,39638977.82,4054.36717
1129,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,39,87290761.34,3797.488867
1130,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,38,75239833.0,3430.83018
1138,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,79,47431589.61,925.798692
1139,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,69,30203352.27,927.466417
1140,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,95,49060469.34,828.856293
1141,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,120,54479917.94,782.346932
1142,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,48,122174068.96,2570.025187
1143,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,النظيم,قطعة أرض-سكنى,70,43812937.71,834.035896
1144,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,18,33155773.05,4433.9488
1145,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,28,56765800.86,5326.034121
1146,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,40,65907831.05,4010.692196
1151,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,23,29044865.5,2149.852504
1152,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,38,146852370.0,3507.527272
1153,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,10,19362032.13,1990.316286
1154,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,40,124247903.44,3000.126044
1155,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,49,81289779.2,2563.438919
1156,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,العليا,قطعة أرض-سكنى,17,29057010.0,2328.113696
1157,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,14,78169032.24,5847.406255
1158,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,25,129164218.89,6324.777933
1159,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,حطين,قطعة أرض-سكنى,23,101073354.74,5264.875139
1160,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,18,34519156.0,640.945027
1161,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,2,14851248.0,
1162,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,2,600000.0,
1163,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,2,1400000.0,
1164,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,4,5200000.0,
1165,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,المصانع,قطعة أرض-سكنى,7,34001555.5,651.621275
1166,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-سكنى,56,52770692.96,2061.168749
1167,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,عرقة,قطعة أرض-سكنى,30,54881753.46,3662.022482
1168,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,عرقة,قطعة أرض-سكنى,1,104027.0,
1169,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,28,46483029.0,2930.955381
1208,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الصحافة,قطعة أرض-سكنى,37,56801818.01,2549.88095
