,yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
602,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الصحافة,قطعة أرض-تجارى,7,137483333.0,13721.804511
604,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الصحافة,قطعة أرض-تجارى,10,904182074.77,9369.218138
657,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الأندلس,قطعة أرض-تجارى,6,31230000.0,2830.761079
668,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الصحافة,قطعة أرض-تجارى,7,283139705.0,10608.691109
669,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الصحافة,قطعة أرض-تجارى,15,216733896.0,7171.282542
680,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الصحافة,قطعة أرض-تجارى,9,214926000.0,13390.979883
682,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,العليا,قطعة أرض-تجارى,6,177342884.0,9762.366879
683,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,العليا,قطعة أرض-تجارى,7,355409760.0,16244.566227
684,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,العليا,قطعة أرض-تجارى,9,447041633.0,12585.174672
686,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,العليا,قطعة أرض-تجارى,10,660283919.1,9572.507634
707,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الصحافة,قطعة أرض-تجارى,7,687924252.0,4060.657324
718,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,11,86502733.0,3414.144019
719,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,11,365620969.0,4639.242034
728,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,العليا,قطعة أرض-تجارى,10,236584000.0,7685.494056
729,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,العليا,قطعة أرض-تجارى,7,44588167.0,5002.76083
733,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,16,70086950.0,1068.38116
734,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,26,226129079.75,1577.201821
735,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,9,3290012.0,378.083423
736,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,18,962094720.0,174.292093
737,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,11,23358261.1,788.706864
738,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,14,17502622.0,969.239742
742,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,12,391299121.86,3452.413714
743,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,15,219551791.58,3764.246582
744,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,21,242446401.49,3821.605451
745,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الصحافة,قطعة أرض-تجارى,10,75317750.0,5504.673289
748,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الصحافة,قطعة أرض-تجارى,8,91470000.0,7004.048582
749,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,العليا,قطعة أرض-تجارى,7,555177600.0,12471.685229
752,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,العليا,قطعة أرض-تجارى,8,140309200.0,9538.59608
753,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-تجارى,10,141340000.0,1477.107356
797,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الصحافة,قطعة أرض-تجارى,12,135796598.0,7492.919078
838,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,6,206977966.0,11025.858138
839,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,12,456128422.18,9551.748981
840,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,17,362996469.6,6982.303647
841,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الصحافة,قطعة أرض-تجارى,9,290165614.6,3449.717375
858,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الصحافة,قطعة أرض-تجارى,11,182703720.5,4614.820294
859,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الصحافة,قطعة أرض-تجارى,9,292084982.0,15294.018281
860,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,11,1258967795.2,6756.597624
861,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,15,400919410.0,5167.871485
862,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,18,272418509.0,4156.246537
863,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,15,226674323.5,4328.595572
873,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,13,170118969.1,254.179643
874,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,17,32223187.91,1374.52798
875,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,12,10323543.0,469.003883
876,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,18,116904738.0,211.846885
902,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-تجارى,30,58047232.14,2295.819562
903,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,13,933181998.0,1106.723511
904,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,16,26350000.0,1558.270755
905,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,18,270193692.5,766.159164
906,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,20,23683813.0,915.676283
907,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,11,27354132.0,2185.988531
933,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,المصانع,قطعة أرض-تجارى,34,85428476.65,1012.377933
934,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,عرقة,قطعة أرض-تجارى,27,291350719.0,4639.518019
949,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,المصانع,قطعة أرض-تجارى,11,35190333.0,840.026651
956,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,28,47074335.5,1212.007873
957,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,25,47005500.0,1601.11917
958,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,20,34532506.0,1078.52289
959,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,11,240073404.0,10266.977391
960,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,6,50655000.0,7384.615384
961,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,حطين,قطعة أرض-تجارى,12,585828278.79,5648.642097
994,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,ظهرة لبن,قطعة أرض-تجارى,30,77466500.0,2218.007662
