نوع العقار,الغرض,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,سكني, حي غرناطة ,ثلاث شوارع,1650,4800,7920000
أرض,سكني, حي اليرموك ,ثلاث شوارع,1650,4800,7920000
أرض,سكني, حي النسيم الغربي ,غربية,750,3200,2400000
أرض,تجاري وسكني, حي الرمال ,جنوبية,2400,3300,7920000
أرض,تجاري وسكني, حي الرمال ,شمالية,900,3300,2970000
أرض,تجاري وسكني, حي الملك فيصل ,شرقية,750,3350,2512500
أرض,تجاري وسكني, حي اليرموك ,جنوبية,1089,3300,3593700
أرض,تجاري وسكني, الرياض ,غربية,750,2600,1950000
أرض,تجاري وسكني, الرياض ,شمالية شرقية,900,580,522000
أرض,تجاري وسكني, حي اليرموك ,شرقية,450,3500,1575000
أرض,تجاري وسكني, حي الرمال ,شرقية,450,3500,1575000
أرض,تجاري وسكني, الرياض ,جنوبية,1089,3300,3593700
أرض,تجاري وسكني, حي المعيزلة ,جنوبية,550,2500,1375000
أرض,تجاري وسكني, حي اليرموك ,جنوبية,1089,3200,3484800
أرض,تجاري وسكني, حي اليرموك ,جنوبية,1089,3250,3539250
أرض,تجاري وسكني, حي المعيزلة ,جنوبية,550,3000,1650000
أرض,تجاري وسكني, حي الرمال ,شمالية شرقية,3092,3200,9894400
أرض,تجاري وسكني, حي الرمال ,شمالية,381,2500,952500
أرض,تجاري وسكني, الرياض ,شمالية,361,2500,902500
أرض,تجاري وسكني, حي الشرق ,شمالية,361,2500,902500
أرض,تجاري وسكني, حي الرمال ,جنوبية,412,3100,1277200
أرض,تجاري, حي المونسية ,شرقية,750,4200,3150000
أرض,تجاري, حي المونسية ,شرقية,2115,4200,8883000
أرض,تجاري, حي الرمال ,شرقية,1560,6410,9999600
أرض,تجاري, حي الروضة ,شمالية,1798,1500,2697000
أرض,تجاري, حي الرمال ,ثلاث شوارع,3000,1500,4500000
أرض,تجاري, حي الرمال ,شرقية,360,2900,1044000
أرض,سكني, حي الرمال ,شرقية,420,476,199920
أرض,سكني, حي اليرموك ,شمالية شرقية,594,3500,2079000
أرض,سكني, الرياض ,جنوبية,300,1950,585000
أرض,سكني, الرياض ,جنوبية شرقية,928,1950,1809600
أرض,سكني, الرياض ,جنوبية,900,1950,1755000
أرض,سكني, حي المشرق ,جنوبية,750,1650,1237500
أرض,سكني, الرياض ,جنوبية,750,1650,1237500
أرض,سكني, حي الخليج ,شمالية شرقية,750,3150,2362500
أرض,سكني, حي الخليج ,شمالية,300,2600,780000
أرض,سكني, حي الخليج ,شمالية,572,2600,1487200
أرض,سكني, حي اليرموك ,جنوبية,1089,3400,3702600
أرض,سكني, الرياض ,غربية,2000,3400,6800000
أرض,سكني, حي الشهداء ,جنوبية,320,5300,1696000
أرض,سكني, حي الحمراء ,جنوبية,1000,6000,6000000
أرض,سكني, الرياض ,شرقية,750,6000,4500000
أرض,سكني, حي البيان ,شمالية,375,6000,2250000
أرض,سكني, حي قرطبة ,غربية,450,5500,2475000
أرض,سكني, حي القادسية ,شمالية غربية,1019,5500,5604500
أرض,سكني, الرياض ,غربية,450,5500,2475000
أرض,سكني, حي الرمال ,جنوبية,412,3500,1442000
أرض,سكني, حي النهضة ,غربية,432,2500,1080000
أرض,سكني, حي الرمال ,ثلاث شوارع,2940,2000,5880000
أرض,سكني, حي الرمال ,غربية,3663,1400,5128200
أرض,سكني, حي الرمال ,غربية,750,426,319500
أرض,سكني, حي غرناطة ,شمالية,800,4800,3840000
أرض,سكني, حي اليرموك ,غربية,300,3800,1140000
أرض,سكني, حي النهضة ,غربية,300,3800,1140000
أرض,سكني, حي النسيم الغربي ,ثلاث شوارع,750,3100,2325000
أرض,سكني, حي اليرموك ,ثلاث شوارع,750,3100,2325000
أرض,سكني, حي الصناعية القديمة ,جنوبية شرقية,1849,3100,5731900
أرض,سكني, حي البيان ,جنوبية,312,2350,733200
أرض,سكني, حي البيان ,جنوبية,375,2350,881250
أرض,سكني, حي الشرق ,جنوبية,312,2350,733200
أرض,سكني, حي الشرق ,شمالية,900,422,379800
أرض,سكني, حي العلا ,شمالية,750,422,316500
أرض,سكني, حي الرمال ,جنوبية,412,3200,1318400
أرض,سكني, حي الجنادرية ,ثلاث شوارع,3562,3100,11042200
أرض,سكني, حي المعيزيلة ,جنوبية,412,2750,1133000
أرض,سكني, حي المعيزيلة ,جنوبية شرقية,810,865,700650
أرض,سكني, حي المعيزيلة ,شمالية غربية,2000,865,1730000
أرض,سكني, الرياض ,جنوبية شرقية,810,865,700650
أرض,تجاري وسكني, حي السعادة ,شمالية,2100,2500,5250000
أرض,تجاري, حي الجنادرية ,غربية,8400,2300,19320000
أرض,تجاري, حي القادسية ,شرقية,900,3333,2999700
أرض,تجاري, حي النسيم الشرقي ,غربية,750,2600,1950000
أرض,تجاري, حي الشرق ,جنوبية غربية,475,2400,1140000
أرض,تجاري, الرياض ,غربية,750,2600,1950000
أرض,تجاري, حي النسيم الغربي ,شمالية,514,1700,873800
أرض,تجاري, حي النسيم الغربي ,شرقية,440,1700,748000
أرض,تجاري, حي الشرق ,جنوبية,437,1700,742900
