نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,المساحة,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
فيلا, الرياض , حي العارض ,جنوبية,6,3,5+,لا يوجد,244.0,1,1,1,1,0,1,0,0,1,1,2300000
فيلا, الرياض , حي العارض ,جنوبية,6,4,5+,لا يوجد,322.0,1,1,1,1,1,1,0,0,1,1,3000000
فيلا, الرياض , حي العارض ,جنوبية,3,2,5+,لا يوجد,350.0,1,0,1,0,1,0,0,1,1,1,2600000
فيلا, الرياض , حي النرجس ,جنوبية,4,4,4,لا يوجد,350.0,1,1,1,0,0,1,0,1,1,1,2600000
فيلا, الرياض , حي العارض ,غربية,4,1,5+,لا يوجد,270.0,1,1,1,1,0,0,0,0,1,0,2800000
فيلا, الرياض , حي النرجس ,شمالية,7+,4,5+,لا يوجد,360.0,1,1,1,1,1,1,0,0,1,0,3500000
فيلا, الرياض , حي الملقا ,شرقية,3,3,3,لا يوجد,437.0,0,1,1,1,0,0,0,0,1,0,4500000
فيلا, الرياض , حي الملقا ,شمالية,5,1,5+,لا يوجد,252.0,1,1,1,1,0,0,0,0,1,1,2800000
فيلا, الرياض , حي النخيل ,شمالية غربية,6,3,5+,لا يوجد,1200.0,1,1,1,1,1,1,1,1,1,1,17000000
فيلا, الرياض , حي الملقا ,شرقية,4,3,5+,لا يوجد,270.0,1,1,1,1,0,1,0,0,1,1,3600000
فيلا, الرياض , حي الملقا ,شرقية,6,1,5+,لا يوجد,250.0,1,1,1,0,1,1,1,1,1,1,2500000
فيلا, الرياض , حي الملقا ,جنوبية,6,3,5+,لا يوجد,600.0,1,1,1,1,1,1,1,0,1,1,8500000
فيلا, الرياض , حي النرجس ,شمالية,7+,3,5+,لا يوجد,225.0,1,0,1,0,0,1,0,0,1,1,3000000
فيلا, الرياض , حي النرجس ,شمالية,7+,3,5+,لا يوجد,225.0,1,0,0,0,0,0,0,0,1,1,3000000
فيلا, الرياض , حي الملقا ,شرقية,5,3,5+,لا يوجد,437.0,1,1,1,1,1,1,0,0,1,1,8500000
فيلا, الرياض , حي النرجس ,جنوبية,5,1,4,لا يوجد,276.0,1,1,1,1,1,1,0,0,1,0,2450000
فيلا, الرياض , حي التعاون ,غربية,7+,3,5+,لا يوجد,359.0,1,1,1,1,1,1,0,0,1,1,3600000
فيلا, الرياض , حي الوادي ,غربية,5,3,4,لا يوجد,375.0,1,1,1,1,0,1,0,0,1,0,2200000
فيلا, الرياض , حي الملقا ,شرقية,5,2,5+,لا يوجد,430.0,1,1,1,1,0,1,0,0,1,1,6000000
فيلا, امارة منطقة الرياض, الرياض ,شمالية,5,3,5+,لا يوجد,280.0,1,1,1,1,0,1,0,0,1,1,2650000
فيلا, امارة منطقة الرياض, الرياض ,جنوبية,4,3,5+,15.0,274.0,1,1,1,1,0,1,1,0,1,1,2600000
فيلا, الرياض , حي النخيل ,جنوبية,6,2,5+,لا يوجد,750.0,1,1,1,1,1,1,1,0,1,0,8000000
فيلا, الرياض , حي العارض ,شمالية,6,3,5+,لا يوجد,500.0,1,1,1,1,1,1,1,0,1,1,5550000
فيلا, الرياض , حي النرجس ,شمالية,5,1,5+,لا يوجد,228.0,1,1,1,0,0,1,0,0,1,0,2550000
فيلا, الرياض , حي الملقا ,شمالية غربية,7+,3,5+,لا يوجد,1200.0,1,1,1,1,1,1,1,0,1,1,18000000
