,نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,المساحة,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
0,فيلا, الرياض , حي العارض ,جنوبية,6,3,5+,لا يوجد,244.0,1,1,1,1,0,1,0,0,1,1,2300000
1,فيلا, الرياض , حي العارض ,جنوبية,6,4,5+,لا يوجد,322.0,1,1,1,1,1,1,0,0,1,1,3000000
2,فيلا, الرياض , حي العارض ,جنوبية,3,2,5+,لا يوجد,350.0,1,0,1,0,1,0,0,1,1,1,2600000
3,فيلا, الرياض , حي النرجس ,جنوبية,4,4,4,لا يوجد,350.0,1,1,1,0,0,1,0,1,1,1,2600000
4,فيلا, الرياض , حي العارض ,غربية,4,1,5+,لا يوجد,270.0,1,1,1,1,0,0,0,0,1,0,2800000
5,فيلا, الرياض , حي النرجس ,شمالية,7+,4,5+,لا يوجد,360.0,1,1,1,1,1,1,0,0,1,0,3500000
6,فيلا, الرياض , حي الملقا ,شرقية,3,3,3,لا يوجد,437.0,0,1,1,1,0,0,0,0,1,0,4500000
7,فيلا, الرياض , حي الملقا ,شمالية,5,1,5+,لا يوجد,252.0,1,1,1,1,0,0,0,0,1,1,2800000
8,فيلا, الرياض , حي النخيل ,شمالية غربية,6,3,5+,لا يوجد,1200.0,1,1,1,1,1,1,1,1,1,1,17000000
9,فيلا, الرياض , حي الملقا ,شرقية,4,3,5+,لا يوجد,270.0,1,1,1,1,0,1,0,0,1,1,3600000
10,فيلا, الرياض , حي الملقا ,شرقية,6,1,5+,لا يوجد,250.0,1,1,1,0,1,1,1,1,1,1,2500000
11,فيلا, الرياض , حي الملقا ,جنوبية,6,3,5+,لا يوجد,600.0,1,1,1,1,1,1,1,0,1,1,8500000
12,فيلا, الرياض , حي النرجس ,شمالية,7+,3,5+,لا يوجد,225.0,1,0,1,0,0,1,0,0,1,1,3000000
13,فيلا, الرياض , حي النرجس ,شمالية,7+,3,5+,لا يوجد,225.0,1,0,0,0,0,0,0,0,1,1,3000000
14,فيلا, الرياض , حي الملقا ,شرقية,5,3,5+,لا يوجد,437.0,1,1,1,1,1,1,0,0,1,1,8500000
15,فيلا, الرياض , حي النرجس ,جنوبية,5,1,4,لا يوجد,276.0,1,1,1,1,1,1,0,0,1,0,2450000
16,فيلا, الرياض , حي التعاون ,غربية,7+,3,5+,لا يوجد,359.0,1,1,1,1,1,1,0,0,1,1,3600000
17,فيلا, الرياض , حي الوادي ,غربية,5,3,4,لا يوجد,375.0,1,1,1,1,0,1,0,0,1,0,2200000
18,فيلا, الرياض , حي الملقا ,شرقية,5,2,5+,لا يوجد,430.0,1,1,1,1,0,1,0,0,1,1,6000000
19,فيلا, امارة منطقة الرياض, الرياض ,شمالية,5,3,5+,لا يوجد,280.0,1,1,1,1,0,1,0,0,1,1,2650000
20,فيلا, امارة منطقة الرياض, الرياض ,جنوبية,4,3,5+,15.0,274.0,1,1,1,1,0,1,1,0,1,1,2600000
21,فيلا, الرياض , حي النخيل ,جنوبية,6,2,5+,لا يوجد,750.0,1,1,1,1,1,1,1,0,1,0,8000000
22,فيلا, الرياض , حي العارض ,شمالية,6,3,5+,لا يوجد,500.0,1,1,1,1,1,1,1,0,1,1,5550000
23,فيلا, الرياض , حي النرجس ,شمالية,5,1,5+,لا يوجد,228.0,1,1,1,0,0,1,0,0,1,0,2550000
24,فيلا, الرياض , حي الملقا ,شمالية غربية,7+,3,5+,لا يوجد,1200.0,1,1,1,1,1,1,1,0,1,1,18000000
25,فيلا, الرياض , حي الملقا ,شمالية غربية,5,3,5+,لا يوجد,400.0,1,1,1,1,1,1,1,0,1,1,4900000
26,فيلا, الرياض , حي جامعة الملك سعود ,شمالية غربية,4,3,5+,لا يوجد,400.0,1,1,1,1,0,1,1,0,1,1,5500000
27,فيلا, الرياض , حي الملقا ,شرقية,5,4,5+,لا يوجد,500.0,1,1,1,1,1,1,1,0,1,1,7500000
28,فيلا, الرياض , حي العارض ,شمالية,4,3,5+,لا يوجد,300.0,1,1,1,1,0,0,0,0,1,1,2300000
29,فيلا, الرياض , حي الربيع ,شرقية,7+,4,5+,لا يوجد,625.0,0,0,0,0,0,0,0,0,0,0,4375000
30,فيلا, الرياض , حي الملقا ,شمالية غربية,5,4,5+,لا يوجد,620.0,1,1,1,1,1,1,1,0,1,1,10000000
31,فيلا, الرياض , حي الملقا ,غربية,7+,3,5+,لا يوجد,800.0,1,1,1,1,1,1,1,0,1,0,10000000
32,فيلا, الرياض , حي الملقا ,شرقية,4,3,5+,لا يوجد,500.0,1,1,1,1,1,1,0,0,1,1,6800000
33,فيلا, الرياض , حي العارض ,غربية,6,2,5+,لا يوجد,900.0,1,0,1,1,0,1,0,0,1,0,8000000
34,فيلا, الرياض , حي النرجس ,شمالية,5,2,5+,لا يوجد,312.0,1,0,1,1,0,1,0,0,1,1,2750000
35,فيلا, الدرعية, العيينة ,غربية,5,1,4,لا يوجد,250.0,1,1,1,0,0,1,0,0,1,0,1280000
36,فيلا, الرياض , حي العقيق ,شمالية,5,2,5+,لا يوجد,375.0,1,1,1,1,1,1,1,0,1,1,4500000
37,فيلا, الدرعية, العيينة ,جنوبية,4,1,5+,لا يوجد,280.0,0,1,0,0,1,0,0,0,0,0,1270000
38,فيلا, الرياض , حي الملقا ,شرقية,5,5,5+,لا يوجد,430.0,1,1,1,1,0,1,0,0,0,1,6000000
39,فيلا, الرياض , حي الملقا ,شمالية,5,2,5+,لا يوجد,287.0,1,1,1,1,0,1,0,0,1,1,3600000
40,فيلا, الرياض , حي الملقا ,جنوبية,5,2,5+,لا يوجد,253.0,1,1,1,1,0,1,0,0,1,1,3400000
41,فيلا, الرياض , حي الملقا ,شرقية,7+,4,5+,لا يوجد,1750.0,1,0,1,1,1,1,0,0,1,1,22500000
42,فيلا, الرياض , حي الياسمين ,شمالية,4,2,5+,لا يوجد,420.0,1,0,1,1,0,1,0,0,1,0,3100000
43,فيلا, الرياض , حي النرجس ,شمالية,4,2,5+,لا يوجد,240.0,1,1,1,1,0,0,0,0,1,1,2750000
44,فيلا, الرياض , حي النخيل ,شرقية,4,3,5+,لا يوجد,260.0,1,0,1,1,1,1,1,0,1,1,3500000
45,فيلا, الرياض , حي العارض ,شمالية شرقية,4,3,5+,لا يوجد,221.0,1,1,1,0,1,0,0,0,1,1,2200000
46,فيلا, الرياض , حي العارض ,شمالية,4,3,5+,لا يوجد,204.0,1,1,1,0,1,0,0,0,1,1,2000000
47,فيلا, الرياض , حي الوادي ,غربية,5,4,5+,لا يوجد,375.0,1,1,1,1,1,1,0,0,1,0,2200000
48,فيلا, الرياض , حي العارض ,شمالية,6,2,4,لا يوجد,400.0,1,1,1,0,0,1,0,0,1,0,3800000
49,فيلا, الرياض , حي النرجس ,جنوبية شرقية,4,2,5+,لا يوجد,315.0,1,1,0,0,0,0,0,0,0,0,2900000
50,فيلا, الرياض , حي الياسمين ,شمالية,5,4,5+,لا يوجد,660.0,1,1,1,1,1,1,0,0,1,0,8000000
51,فيلا, الرياض , حي الملقا ,شرقية,5,3,5+,لا يوجد,525.0,1,1,1,1,0,1,1,1,1,1,9000000
52,فيلا, الرياض , حي النرجس ,جنوبية,5,3,5+,لا يوجد,300.0,1,1,1,1,0,0,1,0,0,1,2950000
53,فيلا, الرياض , حي العليا ,شرقية,5,3,5+,لا يوجد,260.0,1,0,1,0,1,1,0,0,1,1,2800000
54,فيلا, الرياض , حي النزهة ,شمالية شرقية,7+,2,5+,لا يوجد,1050.0,1,1,1,1,1,1,0,1,1,1,7800000
55,فيلا, الرياض , حي الملقا ,شرقية,6,2,5+,لا يوجد,480.0,1,1,1,1,1,1,0,0,1,1,5500000
