نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,, امارة منطقة الرياض, الرياض ,غربية,375,2900,1087500
أرض,, الرياض , حي غرناطة ,شمالية,800,4800,3840000
أرض,سكني, الرياض , حي غرناطة ,ثلاث شوارع,1650,4800,7920000
أرض,سكني, الرياض , حي اليرموك ,ثلاث شوارع,1650,4800,7920000
أرض,سكني, الرياض , حي النسيم الغربي ,غربية,750,3200,2400000
أرض,تجاري وسكني, الرياض , حي الرمال ,جنوبية,2400,3300,7920000
أرض,تجاري وسكني, الرياض , حي الرمال ,شمالية,900,3300,2970000
أرض,تجاري وسكني, الرياض , حي الملك فيصل ,شرقية,750,3350,2512500
أرض,تجاري وسكني, الرياض , حي اليرموك ,جنوبية,1089,3300,3593700
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,غربية,750,2600,1950000
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,شمالية شرقية,900,580,522000
أرض,تجاري وسكني, الرياض , حي اليرموك ,شرقية,450,3500,1575000
أرض,تجاري وسكني, الرياض , حي الرمال ,شرقية,450,3500,1575000
أرض,تجاري وسكني, الرياض , حي اليرموك ,جنوبية,1089,3300,3593700
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,جنوبية,1089,3300,3593700
أرض,تجاري وسكني, الرياض , حي المعيزلة ,جنوبية,550,2500,1375000
أرض,تجاري وسكني, الرياض , حي اليرموك ,جنوبية,1089,3200,3484800
أرض,تجاري وسكني, الرياض , حي اليرموك ,جنوبية,1089,3250,3539250
أرض,تجاري وسكني, الرياض , حي المعيزلة ,جنوبية,550,3000,1650000
أرض,تجاري وسكني, الرياض , حي اليرموك ,جنوبية,1089,3200,3484800
أرض,تجاري وسكني, الرياض , حي الرمال ,شمالية شرقية,3092,3200,9894400
أرض,تجاري وسكني, الرياض , حي الرمال ,شمالية,381,2500,952500
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,شمالية,361,2500,902500
أرض,تجاري وسكني, الرياض , حي الشرق ,شمالية,361,2500,902500
أرض,تجاري وسكني, الرياض , حي الرمال ,جنوبية,412,3100,1277200
أرض,تجاري, الرياض , حي المونسية ,شرقية,750,4200,3150000
أرض,تجاري, الرياض , حي المونسية ,شرقية,2115,4200,8883000
أرض,تجاري, الرياض , حي الرمال ,شرقية,1560,6410,9999600
أرض,تجاري, الرياض , حي الروضة ,شمالية,1798,1500,2697000
أرض,تجاري, الرياض , حي الرمال ,ثلاث شوارع,3000,1500,4500000
أرض,تجاري, الرياض , حي الرمال ,شرقية,360,2900,1044000
أرض,سكني, الرياض , حي الرمال ,شرقية,420,476,199920
أرض,سكني, الرياض , حي اليرموك ,شمالية شرقية,594,3500,2079000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,300,1950,585000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,300,1950,585000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية شرقية,928,1950,1809600
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,900,1950,1755000
أرض,سكني, امارة منطقة الرياض, الرياض ,غربية,239,1950,466050
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية غربية,218,1650,359700
أرض,سكني, امارة منطقة الرياض, الرياض ,غربية,239,1650,394350
أرض,سكني, الرياض , حي المشرق ,جنوبية,750,1650,1237500
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,750,1650,1237500
أرض,سكني, الرياض , حي الخليج ,شمالية شرقية,750,3150,2362500
أرض,سكني, الرياض , حي الخليج ,شمالية,300,2600,780000
أرض,سكني, الرياض , حي الخليج ,شمالية,300,2600,780000
أرض,سكني, الرياض , حي الخليج ,شمالية,572,2600,1487200
أرض,سكني, الرياض , حي اليرموك ,جنوبية,1089,3400,3702600
أرض,سكني, امارة منطقة الرياض, الرياض ,غربية,2000,3400,6800000
أرض,سكني, الرياض , حي الشهداء ,جنوبية,320,5300,1696000
أرض,سكني, الرياض , حي الحمراء ,جنوبية,1000,6000,6000000
أرض,سكني, الرياض , حي الحمراء ,جنوبية,1000,6000,6000000
أرض,سكني, امارة منطقة الرياض, الرياض ,شرقية,750,6000,4500000
أرض,سكني, الرياض , حي البيان ,شمالية,375,6000,2250000
أرض,سكني, الرياض , حي قرطبة ,غربية,450,5500,2475000
أرض,سكني, الرياض , حي القادسية ,شمالية غربية,1019,5500,5604500
أرض,سكني, امارة منطقة الرياض, الرياض ,غربية,450,5500,2475000
أرض,سكني, الرياض , حي الرمال ,جنوبية,412,3500,1442000
أرض,سكني, الرياض , حي النهضة ,غربية,432,2500,1080000
أرض,سكني, الرياض , حي الرمال ,ثلاث شوارع,2940,2000,5880000
أرض,سكني, الرياض , حي الشهداء ,جنوبية,320,5300,1696000
أرض,سكني, الرياض , حي الرمال ,غربية,3663,1400,5128200
أرض,سكني, الرياض , حي الرمال ,غربية,750,426,319500
أرض,سكني, الرياض , حي غرناطة ,شمالية,800,4800,3840000
أرض,سكني, الرياض , حي غرناطة ,شمالية,800,4800,3840000
أرض,سكني, الرياض , حي اليرموك ,غربية,300,3800,1140000
أرض,سكني, الرياض , حي النهضة ,غربية,300,3800,1140000
أرض,سكني, الرياض , حي النهضة ,غربية,300,3800,1140000
أرض,سكني, الرياض , حي النسيم الغربي ,ثلاث شوارع,750,3100,2325000
أرض,سكني, الرياض , حي اليرموك ,ثلاث شوارع,750,3100,2325000
أرض,سكني, الرياض , حي اليرموك ,ثلاث شوارع,750,3100,2325000
أرض,سكني, الرياض , حي الصناعية القديمة ,جنوبية شرقية,1849,3100,5731900
أرض,سكني, الرياض , حي البيان ,جنوبية,312,2350,733200
أرض,سكني, الرياض , حي البيان ,جنوبية,375,2350,881250
أرض,سكني, الرياض , حي الشرق ,جنوبية,312,2350,733200
أرض,سكني, الرياض , حي الشرق ,شمالية,900,422,379800
أرض,سكني, الرياض , حي العلا ,شمالية,750,422,316500
أرض,سكني, الرياض , حي الرمال ,جنوبية,412,3200,1318400
أرض,سكني, الرياض , حي الجنادرية ,ثلاث شوارع,3562,3100,11042200
أرض,سكني, الرياض , حي المعيزيلة ,جنوبية,412,2750,1133000
أرض,سكني, الرياض , حي المعيزيلة ,جنوبية شرقية,810,865,700650
أرض,سكني, الرياض , حي المعيزيلة ,شمالية غربية,2000,865,1730000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية شرقية,810,865,700650
أرض,تجاري وسكني, الرياض , حي السعادة ,شمالية,2100,2500,5250000
أرض,تجاري, الرياض , حي الجنادرية ,غربية,8400,2300,19320000
أرض,تجاري, الرياض , حي القادسية ,شرقية,900,3333,2999700
أرض,تجاري, الرياض , حي النسيم الشرقي ,غربية,750,2600,1950000
أرض,تجاري, الرياض , حي الشرق ,جنوبية غربية,475,2400,1140000
أرض,تجاري, امارة منطقة الرياض, الرياض ,غربية,750,2600,1950000
أرض,تجاري, الرياض , حي النسيم الغربي ,شمالية,514,1700,873800
أرض,تجاري, الرياض , حي النسيم الغربي ,شرقية,440,1700,748000
أرض,تجاري, الرياض , حي الشرق ,جنوبية,437,1700,742900
أرض,سكني, الرياض , حي المونسية ,شمالية,2825,4400,12430000
أرض,سكني, الرياض , حي المونسية ,شرقية,2520,4400,11088000
أرض,سكني, امارة منطقة الرياض, الرياض ,غربية,750,520,390000
أرض,سكني, الرياض , حي المونسية ,شمالية غربية,3905,4400,17182000
أرض,سكني, الرياض , حي السعادة ,جنوبية,90,2500,225000
أرض,سكني, الرياض , حي السعادة ,شمالية,375,1500,562500
أرض,سكني, الرياض , حي السعادة ,غربية,22300,2700,60210000
أرض,سكني, الرياض , حي الرمال ,شمالية شرقية,420,4200,1764000
أرض,سكني, الرياض , حي الرمال ,جنوبية,500,4200,2100000
أرض,تجاري وسكني, الرياض , حي خشم العان ,شمالية,1050,2500,2625000
أرض,تجاري وسكني, الرياض , حي القادسية ,أربع شوارع,10000,2400,24000000
أرض,تجاري وسكني, الرياض , حي المشرق ,شمالية,900,559,503100
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,شمالية,900,559,503100
أرض,تجاري وسكني, الرياض , حي الصفا ,غربية,400,3600,1440000
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,شمالية,930,560,520800
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,شرقية,700,550,385000
أرض,تجاري وسكني, الرياض , حي الملك فيصل ,جنوبية,900,550,495000
أرض,تجاري وسكني, الرياض , حي المشرق ,شمالية,763,550,419650
أرض,تجاري وسكني, الرياض , حي المشرق ,جنوبية,750,460,345000
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,شرقية,750,460,345000
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,جنوبية,750,460,345000
أرض,تجاري وسكني, الرياض , حي غرناطة ,شمالية,575,5800,3335000
أرض,تجاري, الرياض , حي الرمال ,جنوبية,412,3200,1318400
أرض,تجاري, الرياض , حي الرمال ,جنوبية,412,3200,1318400
أرض,تجاري, الرياض , حي الرمال ,شمالية,5000,1950,9750000
أرض,تجاري, الرياض , حي القادسية ,شرقية,543,2300,1248900
أرض,تجاري, الرياض , حي القادسية ,شرقية,543,2300,1248900
أرض,تجاري, امارة منطقة الرياض, الرياض ,شمالية,750,650,487500
أرض,تجاري, امارة منطقة الرياض, الرياض ,شمالية,750,500,375000
أرض,تجاري, الرياض , حي الرمال ,جنوبية,412,3200,1318400
أرض,تجاري, الرياض , حي الرمال ,شمالية,375,1466,549750
أرض,تجاري, الرياض , حي الرمال ,جنوبية,412,3200,1318400
أرض,تجاري, الرياض , حي الرمال ,جنوبية,412,3200,1318400
أرض,تجاري, الرياض , حي الرمال ,جنوبية,416,3200,1331200
أرض,تجاري, الرياض , حي غرناطة ,جنوبية,416,3200,1331200
أرض,تجاري, الرياض , حي النهضة ,شرقية,362,2700,977400
أرض,تجاري, الرياض , حي النهضة ,شرقية,362,2700,977400
أرض,تجاري, امارة منطقة الرياض, الرياض ,شمالية,600,2700,1620000
أرض,تجاري, الرياض , حي اشبيلية ,أربع شوارع,5670,4900,27783000
أرض,تجاري, الرياض , حي اشبيلية ,جنوبية,747,414,309258
أرض,تجاري, امارة منطقة الرياض, الرياض ,شمالية,750,414,310500
أرض,تجاري, الرياض , حي النهضة ,شرقية,420,3000,1260000
أرض,تجاري, الرياض , حي الحمراء ,شرقية,1125,4800,5400000
أرض,تجاري, الرياض , حي الحمراء ,جنوبية,1500,4200,6300000
أرض,تجاري, حي قرطبة , طريق سعيد ابن زيد ,جنوبية غربية,2250,8000,18000000
أرض,تجاري, الرياض , حي الرمال ,جنوبية,412,3200,1318400
أرض,تجاري, الرياض , حي الرمال ,جنوبية,412,3150,1297800
أرض,تجاري, الرياض , حي العلا ,جنوبية,750,3150,2362500
أرض,تجاري, امارة منطقة الرياض, الرياض ,شرقية,371,3150,1168650
أرض,تجاري, الرياض , حي النهضة ,شمالية,450,2650,1192500
أرض,تجاري, الرياض , حي النهضة ,شمالية,450,2650,1192500
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,ثلاث شوارع,5302,3000,15906000
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,شمالية شرقية,357,3000,1071000
أرض,تجاري وسكني, الرياض , حي الروضة ,أربع شوارع,9900,4500,44550000
أرض,تجاري وسكني, الرياض , حي الشهداء ,ثلاث شوارع,3900,6500,25350000
أرض,تجاري وسكني, الرياض , حي الشهداء ,غربية,763,315,240345
أرض,تجاري وسكني, الرياض , حي الشهداء ,شمالية,2000,315,630000
أرض,تجاري وسكني, الرياض , حي الشهداء ,شمالية,2000,315,630000
أرض,تجاري وسكني, الرياض , حي المشرق ,شمالية شرقية,2000,315,630000
أرض,تجاري وسكني, الرياض , حي القادسية ,جنوبية,597,315,188055
أرض,تجاري وسكني, الرياض , حي القدس ,غربية,450,5300,2385000
أرض,تجاري وسكني, الرياض , حي القدس ,شرقية,750,5300,3975000
أرض,تجاري وسكني, الرياض , حي القدس ,جنوبية,750,7333,5499750
أرض,تجاري وسكني, الرياض , حي الرمال ,جنوبية,900,2900,2610000
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,جنوبية,900,1000,900000
أرض,تجاري وسكني, الرياض , حي القادسية ,شمالية,450,1000,450000
أرض,سكني, الرياض , حي الاندلس ,شرقية,1000,4000,4000000
أرض,سكني, الرياض , حي اشبيلية ,شمالية غربية,2007,4000,8028000
أرض,سكني, الرياض , حي الروضة ,غربية,751,3700,2778700
أرض,سكني, الرياض , حي الروضة ,غربية,751,3700,2778700
أرض,سكني, الرياض , حي الروضة ,غربية,750,4000,3000000
أرض,تجاري وسكني, الرياض , حي النسيم الغربي ,جنوبية,630,1800,1134000
أرض,تجاري وسكني, الرياض , حي الشعلة ,جنوبية,763,318,242634
أرض,تجاري وسكني, الرياض , حي الشعلة ,جنوبية,870,867,754290
أرض,تجاري وسكني, الرياض , حي الشعلة ,جنوبية,900,944,849600
أرض,تجاري وسكني, الرياض , حي الشعلة ,شرقية,918,944,866592
أرض,تجاري وسكني, الرياض , حي الشعلة ,جنوبية غربية,429,944,404976
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,غربية,379,3150,1193850
أرض,تجاري وسكني, الرياض , حي النهضة ,شرقية,420,3000,1260000
أرض,تجاري وسكني, الرياض , حي الشرق ,شمالية,454,2500,1135000
أرض,تجاري وسكني, الرياض , حي الشرق ,غربية,744,1800,1339200
أرض,تجاري, الرياض , حي السعادة ,ثلاث شوارع,4577,3500,16019500
أرض,تجاري, الرياض , حي الندوة ,شمالية,375,3500,1312500
أرض,تجاري, الرياض , حي الندوة ,جنوبية غربية,900,777,699300
أرض,تجاري, امارة منطقة الرياض, الرياض ,جنوبية غربية,900,777,699300
أرض,تجاري, الرياض , حي الفيحاء ,غربية,720,777,559440
أرض,تجاري, الرياض , حي قرطبة ,شرقية,800,5500,4400000
أرض,تجاري, الرياض , حي الروضة ,شمالية شرقية,608,4000,2432000
أرض,تجاري, الرياض , حي الروضة ,شرقية,543,4100,2226300
أرض,تجاري, الرياض , حي المعيزلة ,شمالية,437,2900,1267300
أرض,تجاري, الرياض , حي الملك فيصل ,شرقية,750,3350,2512500
أرض,تجاري, الرياض , حي الملك فيصل ,غربية,760,526,399760
أرض,تجاري, الرياض , حي الملك فيصل ,شرقية,750,3350,2512500
أرض,تجاري, الرياض , حي اليرموك ,شمالية,300,3600,1080000
أرض,تجاري, الرياض , حي الرمال ,جنوبية غربية,1930,2800,5404000
أرض,تجاري, الرياض , حي الرمال ,جنوبية,625,4000,2500000
أرض,تجاري, الرياض , حي الرمال ,غربية,600,3000,1800000
أرض,تجاري, امارة منطقة الرياض, الرياض ,ثلاث شوارع,1225,2500,3062500
أرض,تجاري, الرياض , حي الندوة ,جنوبية,1280,3000,3840000
أرض,تجاري, الرياض , حي الندوة ,جنوبية,1280,3000,3840000
أرض,تجاري, الرياض , حي السعادة ,جنوبية,306,2777,849762
أرض,تجاري, حي الرمال , ,شرقية,360,2777,999720
أرض,تجاري, الرياض , حي المشرق ,شمالية,750,480,360000
أرض,تجاري,13843, امارة منطقة الرياض ,شمالية,750,600,450000
