نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,المساحة,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
فيلا, الرياض , حي العارض ,جنوبية,6,3,5+,,244,1,1,1,1,0,1,0,0,1,1,2300000
فيلا, الرياض , حي العارض ,جنوبية,6,4,5+,,322,1,1,1,1,1,1,0,0,1,1,3000000
فيلا, الرياض , حي العارض ,جنوبية,3,2,5+,,350,1,0,1,0,1,0,0,1,1,1,2600000
فيلا, الرياض , حي النرجس ,جنوبية,4,4,4,,350,1,1,1,0,0,1,0,1,1,1,2600000
فيلا, الرياض , حي العارض ,غربية,4,1,5+,,270,1,1,1,1,0,0,0,0,1,0,2800000
فيلا, الرياض , حي النرجس ,شمالية,7+,4,5+,,360,1,1,1,1,1,1,0,0,1,0,3500000
فيلا, الرياض , حي الملقا ,شرقية,3,3,3,,437,0,1,1,1,0,0,0,0,1,0,4500000
فيلا, الرياض , حي الملقا ,شمالية,5,1,5+,,252,1,1,1,1,0,0,0,0,1,1,2800000
فيلا, الرياض , حي النخيل ,شمالية غربية,6,3,5+,,1200,1,1,1,1,1,1,1,1,1,1,17000000
فيلا, الرياض , حي الملقا ,شرقية,4,3,5+,,270,1,1,1,1,0,1,0,0,1,1,3600000
فيلا, الرياض , حي الملقا ,شرقية,6,1,5+,,250,1,1,1,0,1,1,1,1,1,1,2500000
فيلا, الرياض , حي الملقا ,جنوبية,6,3,5+,,600,1,1,1,1,1,1,1,0,1,1,8500000
فيلا, الرياض , حي النرجس ,شمالية,7+,3,5+,,225,1,0,1,0,0,1,0,0,1,1,3000000
فيلا, الرياض , حي النرجس ,شمالية,7+,3,5+,,225,1,0,0,0,0,0,0,0,1,1,3000000
فيلا, الرياض , حي الملقا ,شرقية,5,3,5+,,437,1,1,1,1,1,1,0,0,1,1,8500000
فيلا, الرياض , حي النرجس ,جنوبية,5,1,4,,276,1,1,1,1,1,1,0,0,1,0,2450000
فيلا, الرياض , حي التعاون ,غربية,7+,3,5+,,359,1,1,1,1,1,1,0,0,1,1,3600000
فيلا, الرياض , حي الوادي ,غربية,5,3,4,,375,1,1,1,1,0,1,0,0,1,0,2200000
فيلا, الرياض , حي الملقا ,شرقية,5,2,5+,,430,1,1,1,1,0,1,0,0,1,1,6000000
فيلا, امارة منطقة الرياض, الرياض ,شمالية,5,3,5+,,280,1,1,1,1,0,1,0,0,1,1,2650000
فيلا, امارة منطقة الرياض, الرياض ,جنوبية,4,3,5+,15,274,1,1,1,1,0,1,1,0,1,1,2600000
فيلا, الرياض , حي النخيل ,جنوبية,6,2,5+,,750,1,1,1,1,1,1,1,0,1,0,8000000
فيلا, الرياض , حي العارض ,شمالية,6,3,5+,,500,1,1,1,1,1,1,1,0,1,1,5550000
فيلا, الرياض , حي النرجس ,شمالية,5,1,5+,,228,1,1,1,0,0,1,0,0,1,0,2550000
فيلا, الرياض , حي الملقا ,شمالية غربية,7+,3,5+,,1200,1,1,1,1,1,1,1,0,1,1,18000000
فيلا, الرياض , حي الملقا ,شمالية غربية,5,3,5+,,400,1,1,1,1,1,1,1,0,1,1,4900000
فيلا, الرياض , حي جامعة الملك سعود ,شمالية غربية,4,3,5+,,400,1,1,1,1,0,1,1,0,1,1,5500000
